# num asns 1125
# squat_asn squat_dod_ip
3549 11.11.0.9
4837 11.100.1.22
37963 11.217.227.138
9299 11.105.89.134
6128 11.56.0.221
3301 11.1.1.1
37963 11.228.249.34
7922 11.104.198.161
7922 11.104.104.185
3462 11.54.0.51
8075 22.106.90.61
34235 22.107.196.245
14115 22.242.85.254
4837 11.131.180.210
38067 7.7.7.1
4808 11.177.65.59
5432 22.107.105.153
45102 11.53.213.170
3356 7.0.8.1
269139 11.0.6.1
396982 11.11.11.1
4808 11.16.2.146
55693 11.24.12.0
4837 11.24.204.22
204848 11.12.0.1
140405 11.11.11.1
7018 11.104.68.137
812 7.11.169.117
18206 11.64.104.102
25019 11.100.0.1
10212 11.24.204.0
198004 11.0.0.1
37611 11.1.5.1
45102 11.56.8.121
59807 11.11.11.1
24560 7.7.7.1
14051 7.0.255.17
8003 11.56.6.0
5432 22.107.164.162
263047 11.0.0.0
263230 11.11.0.1
21782 11.11.12.2
5617 11.4.1.1
264159 22.12.37.1
8968 11.100.0.2
62044 11.243.86.2
812 7.11.165.109
7713 11.22.33.0
8003 11.78.74.0
9299 11.11.20.216
812 7.11.169.229
3741 11.88.216.1
45102 11.109.216.218
2856 11.100.0.2
11664 11.0.0.1
14638 11.0.0.1
5432 22.106.89.241
19161 11.187.23.177
9931 11.0.0.1
138536 11.22.44.0
174 11.187.22.17
5432 22.107.74.233
17621 11.1.1.0
174 11.193.64.77
5432 22.107.149.237
22927 11.11.11.0
58466 11.238.0.6
136907 11.22.80.137
8003 11.29.46.0
812 7.11.165.157
23860 11.15.155.1
3356 11.164.45.50
36715 11.187.64.241
812 7.11.163.0
31472 11.0.0.1
3549 11.0.17.254
5432 22.106.65.34
45102 11.53.213.178
18002 11.11.11.0
8151 11.5.10.254
11404 11.26.35.1
35728 11.11.11.1
3356 22.107.180.0
45102 11.48.200.62
23944 22.19.16.1
7018 7.0.0.6
701 11.100.0.2
22394 7.45.0.65
17754 11.21.32.1
15247 11.82.2.125
3356 7.0.50.3
56043 11.82.129.2
