,#Field:count,sourceIPCount,endUserASN,which_data
580,55,1,16104,tracerouteasncounts
581,848,6,16110,tracerouteasncounts
582,366,1,16846,tracerouteasncounts
583,23770,8,17161,tracerouteasncounts
584,14697,1,17270,tracerouteasncounts
585,1538,1,17311,tracerouteasncounts
586,251230,4305,18207,tracerouteasncounts
587,69302,1,19105,tracerouteasncounts
588,1086,4,19220,tracerouteasncounts
589,12,1,19402,tracerouteasncounts
590,1143,1,20103,tracerouteasncounts
591,271,1,20261,tracerouteasncounts
592,1410,17,21228,tracerouteasncounts
593,39114,2,21639,tracerouteasncounts
594,37886,5,22511,tracerouteasncounts
595,47,2,23826,tracerouteasncounts
596,2803,255,24255,tracerouteasncounts
597,1294,5,24680,tracerouteasncounts
598,19,2,24840,tracerouteasncounts
599,2610651,5968,27017,tracerouteasncounts
600,684,2,27566,tracerouteasncounts
601,22176,41,27611,tracerouteasncounts
602,206,2,27944,tracerouteasncounts
603,6034,282,28544,tracerouteasncounts
604,514,8,28738,tracerouteasncounts
605,5304,39,29676,tracerouteasncounts
606,118,1,29940,tracerouteasncounts
607,216220,46,30167,tracerouteasncounts
608,2242,34,30200,tracerouteasncounts
609,45,2,30597,tracerouteasncounts
610,411,1,30756,tracerouteasncounts
611,19021,571,31126,tracerouteasncounts
612,72,2,31810,tracerouteasncounts
613,9716,9,33489,tracerouteasncounts
614,2366,1,33735,tracerouteasncounts
615,2521,20,34080,tracerouteasncounts
616,193,2,34403,tracerouteasncounts
617,6968,64,34968,tracerouteasncounts
618,29132,53,35179,tracerouteasncounts
619,8781,529,35370,tracerouteasncounts
620,28534,1407,35467,tracerouteasncounts
621,56,9,35773,tracerouteasncounts
622,8,1,36144,tracerouteasncounts
623,128784,3,36333,tracerouteasncounts
624,345,4,36610,tracerouteasncounts
625,18,3,37104,tracerouteasncounts
626,15399,66,37239,tracerouteasncounts
627,360,1,37477,tracerouteasncounts
628,184,1,38327,tracerouteasncounts
629,12,1,38438,tracerouteasncounts
630,686,207,38844,tracerouteasncounts
631,788,31,38875,tracerouteasncounts
632,1662,2,39060,tracerouteasncounts
633,9821,108,39637,tracerouteasncounts
634,412,9,39701,tracerouteasncounts
635,34,1,39830,tracerouteasncounts
636,3339,41,39875,tracerouteasncounts
637,15892,1,39966,tracerouteasncounts
638,7656,39,40127,tracerouteasncounts
639,637,1,40229,tracerouteasncounts
640,65643,2,40382,tracerouteasncounts
641,38,2,40765,tracerouteasncounts
642,1,1,41707,tracerouteasncounts
643,690165,8,42175,tracerouteasncounts
644,16,5,43945,tracerouteasncounts
645,108,1,44521,tracerouteasncounts
646,207,1,44690,tracerouteasncounts
647,180,1,44865,tracerouteasncounts
648,200,3,45272,tracerouteasncounts
649,4,1,45926,tracerouteasncounts
650,3716,3,46299,tracerouteasncounts
651,378,7,46860,tracerouteasncounts
652,310,3,46869,tracerouteasncounts
653,728,4,47433,tracerouteasncounts
654,893,25,48952,tracerouteasncounts
655,21628,12,49229,tracerouteasncounts
656,1346,2,49371,tracerouteasncounts
657,978,45,49909,tracerouteasncounts
658,110,5,50211,tracerouteasncounts
659,1278,7,50590,tracerouteasncounts
660,28,15,52618,tracerouteasncounts
661,1777,10,52839,tracerouteasncounts
662,1144,191,52901,tracerouteasncounts
663,2823,196,53112,tracerouteasncounts
664,488,5,53809,tracerouteasncounts
665,9775,102,53959,tracerouteasncounts
666,865,1,54262,tracerouteasncounts
667,3851,40,54327,tracerouteasncounts
668,1435,7,54540,tracerouteasncounts
669,106879,1,54747,tracerouteasncounts
670,9198,32,55811,tracerouteasncounts
671,55,2,56270,tracerouteasncounts
672,179,5,56426,tracerouteasncounts
673,17,1,57000,tracerouteasncounts
674,8034,12,57128,tracerouteasncounts
675,140873,1590,57269,tracerouteasncounts
676,59,4,57781,tracerouteasncounts
677,77,4,58498,tracerouteasncounts
678,62,1,59685,tracerouteasncounts
679,2340,6,59734,tracerouteasncounts
680,42721,357,60257,tracerouteasncounts
681,17,2,60755,tracerouteasncounts
682,532,54,62055,tracerouteasncounts
683,2281,8,62544,tracerouteasncounts
684,141,1,62702,tracerouteasncounts
685,5933,29,62814,tracerouteasncounts
686,2680,1,63341,tracerouteasncounts
687,1313,6,63393,tracerouteasncounts
688,10942,1,64307,tracerouteasncounts
689,3,1,132943,tracerouteasncounts
690,3516,2,133734,tracerouteasncounts
691,3,1,133848,tracerouteasncounts
692,6038,103,134042,tracerouteasncounts
693,1551,1,134372,tracerouteasncounts
694,967,88,134899,tracerouteasncounts
695,98,8,135181,tracerouteasncounts
696,646,57,135214,tracerouteasncounts
697,573,1,135288,tracerouteasncounts
698,3074,85,136365,tracerouteasncounts
699,355,6,136438,tracerouteasncounts
700,16944,375,136480,tracerouteasncounts
701,37,5,136677,tracerouteasncounts
702,1071,2,136803,tracerouteasncounts
703,87,11,137339,tracerouteasncounts
704,134,4,137419,tracerouteasncounts
705,3802,122,137653,tracerouteasncounts
706,2020,15,137656,tracerouteasncounts
707,233,13,138320,tracerouteasncounts
708,99,3,139711,tracerouteasncounts
709,906,10,139906,tracerouteasncounts
710,729,2,140006,tracerouteasncounts
711,92,1,197381,tracerouteasncounts
