,AS,# of source IP,# of Traceroutes,Type,Feature
484,23520,270.0,69530,Not Squatted ASCone,ASCone
485,12741,5.0,746845,Squatted ASCone,ASCone
486,6663,427.0,24792,Not Squatted ASCone,ASCone
487,2516,29.0,7275693,Squatted ASCone,ASCone
488,5588,1.0,951637,Squatted ASCone,ASCone
489,7474,8.0,923786,Squatted ASCone,ASCone
490,4134,1337.0,8389004,Squatted ASCone,ASCone
491,32787,1.0,140720,Squatted ASCone,ASCone
492,5617,11.0,1369209,Squatted ASCone,ASCone
493,7545,32.0,9195342,Squatted ASCone,ASCone
494,577,32.0,13628537,Squatted ASCone,ASCone
495,9318,14.0,2381741,Squatted ASCone,ASCone
496,8732,164.0,61752,Not Squatted ASCone,ASCone
497,53062,1.0,10262,Squatted ASCone,ASCone
498,20804,146.0,70541,Not Squatted ASCone,ASCone
499,2497,22.0,6605156,Squatted ASCone,ASCone
500,20115,1776.0,25707242,Squatted ASCone,ASCone
501,8708,19.0,2745533,Squatted ASCone,ASCone
502,20473,11.0,26367,Squatted ASCone,ASCone
503,3786,12.0,1139900,Squatted ASCone,ASCone
504,45820,34.0,533292,Squatted ASCone,ASCone
505,37100,1.0,209685,Squatted ASCone,ASCone
506,7713,816.0,4024846,Squatted ASCone,ASCone
507,6128,156.0,10932080,Squatted ASCone,ASCone
508,54004,63.0,57013,Not Squatted ASCone,ASCone
509,38195,3.0,257881,Squatted ASCone,ASCone
510,23106,568.0,76315,Not Squatted ASCone,ASCone
511,28368,1.0,24188,Squatted ASCone,ASCone
512,4657,7.0,665693,Squatted ASCone,ASCone
513,9505,6.0,6411,Not Squatted ASCone,ASCone
514,3255,297.0,20418,Not Squatted ASCone,ASCone
515,35297,75.0,5992,Not Squatted ASCone,ASCone
