#Field:count	sourceIPCount	endUserASN
22540	8	202024
383	2	202075
6611	322	202147
317	1	202178
1576	1	202183
689	43	202205
176	3	202257
2	2	202365
5043	8	202395
310	85	202491
547	2	202553
471	2	202787
143	32	202833
524	2	202852
393	1	202900
232	1	202962
3	1	202993
1847	2	203175
4839	5	203322
8	3	203377
29	5	203448
281	6	203612
342	3	203658
591	26	203735
15464	2	203736
851	7	203762
12	1	203803
3778	2	203876
12339	4	203897
170890	1314	203953
87	15	204060
35138	1	204098
136	6	204126
1	1	204154
2585	3	204260
82	14	204379
9	2	204447
392	15	204560
214	2	204568
9	1	204569
82	1	204608
3123	33	204649
89	1	204722
81	18	204757
21	1	204838
352	3	204875
484	4	204943
48	16	204958
268	2	205002
8232	2	205136
142	6	205277
793	4	205344
7273	3	205402
27799	2	205437
1903	1	205483
1147	9	205542
435	2	205583
19255	1019	205714
280	1	205737
3307	1	205747
136	1	205874
49	7	205881
1020	12	206011
20605	489	206276
1735	35	206298
3	1	206325
48	3	206326
102	2	206437
87	2	206567
30	15	206588
2122	323	206617
2024	1	206664
2865	1	206668
61	2	206673
7222	3	206806
1686	91	206837
18668	227	206894
2853	11	206910
34	2	206940
603	2	206951
292	2	207003
45	3	207011
658	4	207134
1951	1	207184
3559	40	207187
461	7	207236
14135	5	207247
31	1	207264
4	1	207397
6	2	207460
32	7	207541
2	1	207587
12	1	207870
5990	74	207903
3	1	207906
2095	13	208115
139	7	208139
1178	3	208282
7795	1	208406
11	2	208496
127	13	208591
419	7	208732
62	1	208746
1228	1	208813
490	93	208821
6140	10	208863
2947	1	208960
6	1	209074
81	2	209259
1489	3	209381
85	9	209521
3315	41	209528
2215	1	209536
315	1	209570
1258	196	209714
122	2	209751
351	3	209772
2435	5	209931
29	1	210075
2032	2	210098
221	3	210327
374	1	211778
296	1	212028
4445	3	212498
30	2	212538
214	15	212645
24	2	212713
502	6	212926
366	41	213004
756	3	213226
5612	99	262304
64	15	262307
4999	255	262352
1636	74	262353
877	102	262385
49	7	262423
2700	2	262477
283	41	262490
35064	19	262513
511	34	262622
61846	438	262731
1041	102	262744
26	10	262782
479	58	262798
401402	1249	262916
553	79	262952
540	22	263008
1881	42	263009
3457	34	263127
1515	198	263145
497	58	263153
1414	3	263175
1144	134	263236
3080	124	263262
2675	382	263271
64	18	263304
1253	70	263320
4346	90	263356
244	26	263404
10669	452	263405
1087	76	263415
15	1	263613
2212	354	263699
274	55	263764
641	41	263768
228	5	263781
37	2	263887
675	13	263895
345	63	263919
321	84	263943
372	50	263962
17	3	263975
519	25	264035
94	7	264043
4	2	264063
172	29	264064
6062	109	264106
600	18	264110
702	37	264117
2708	32	264144
298	9	264254
264	46	264283
321	39	264288
249	3	264296
778	45	264326
138	8	264340
172	34	264366
356	104	264381
75	14	264391
2046	46	264393
461	36	264398
164	13	264479
227	13	264484
79	18	264494
2573	67	264543
262	52	264715
93	11	264737
1060	143	264744
291	88	264746
377	6	264782
17	8	264891
26	12	264928
202	33	264949
213	17	264950
2348	3	264957
716	46	264982
282	51	264998
6	4	265024
18	4	265092
372	70	265201
16	4	265240
393	14	265281
327	33	265282
106	19	265300
271	2	265334
320	29	265342
711	16	265388
88	27	265396
15	9	265419
187	18	265439
237	21	265441
1131	23	265505
85881	1	265521
1860	21	265529
765	27	265562
58	12	265572
275	12	265581
46	8	265709
84	15	265746
84	11	265808
25	12	265903
1278	24	265906
97	34	265961
122	6	265983
66	19	266009
357	22	266025
469	35	266028
250	31	266030
749	37	266032
34	3	266053
1870	24	266087
33	9	266222
6924	94	266224
13	1	266262
5	2	266264
359	24	266341
390	39	266355
273	40	266359
53	25	266396
81	3	266415
661	59	266447
86	11	266478
981	82	266532
1325	18	266543
19	1	266597
299	24	266650
167	31	266676
4	3	266760
24	8	266767
538	20	266776
590	21	266816
3015	113	266891
1915	42	266942
179	13	266945
210	19	266959
20	12	267079
1377	24	267089
7	1	267094
554	43	267177
3842	131	267269
115	6	267371
951	34	267376
163	14	267401
307	14	267412
227	32	267422
196	22	267488
10	9	267514
76	28	267540
16	7	267566
93	17	267632
383	49	267654
572	79	267665
688	27	267700
926	51	267845
3	3	267978
158	38	268101
372	7	268128
15	6	268163
5	2	268204
3250	42	268221
380	14	268225
98	27	268292
358	29	268324
88	18	268325
56	13	268339
6	3	268354
90	38	268360
74	5	268366
116	9	268376
21	9	268406
55	11	268518
1203	60	268585
2819	28	268609
123	12	268614
211	35	268666
57	1	268679
383	70	268774
96	14	268779
4	2	268800
8	5	268908
78	15	268913
30	11	268965
973	25	268983
5	3	269028
130	5	269076
17	7	269099
1248	2	269132
550	25	269185
23	5	269356
399	33	269362
12	3	269367
970	46	269403
28	11	269450
3330	62	269462
49	16	269522
18	7	269532
199	18	269535
218	20	269585
255	11	269598
157	19	269617
17	4	269631
1321	29	269670
7372	204	269684
415	17	269687
8	5	269695
177	40	269725
1056	64	269756
2272	124	269806
1082	87	269840
454	23	269980
218	24	270009
113	6	270012
507	24	270037
86	27	270052
490	23	270249
80	17	270261
1994	22	270276
67	11	270335
132	3	270347
149	20	270362
116	23	270456
72	26	270569
27	11	270570
2922	34	270600
318	12	270616
135	10	270651
530	58	270708
356	20	270722
589	8	270752
415	26	270767
27	8	270893
8	7	270919
323	14	271014
11	1	271029
38	3	271146
509	33	271205
152	19	271212
37	4	271223
26	3	271273
639	10	271295
35	15	271483
226	12	271566
1	1	271790
35964	35	327733
4324	9	327749
111	4	327803
2393	4	327809
3086	6	327833
8724	64	327984
263	5	328003
11379	22	328074
4394	38	328106
199	1	328107
31764	1	328189
642	2	328192
2	1	328299
25	1	328560
4	1	328651
434	1	328714
53	1	328720
1668	5	328810
83	2	328821
1318	1	393231
104293	1	393456
546	3	393586
14093	11	393626
2900	19	393706
123	1	393739
2741	1	393781
1335	1	393804
4309	1	393816
783	1	393830
1155	2	393845
691	12	393951
71	1	394063
182	3	394209
10	3	394249
559	1	394257
37	1	394425
1	1	394475
3317	1	394580
2788	1	394751
1650	3	394785
224	1	394825
187	1	394903
1317	4	394979
6003	41	394998
6223	1	395166
20402	50	395261
9783	1	395311
823	1	395435
8	6	395465
1209	1	395554
3428	1	395618
24943	1	395659
593	1	395673
2139	11	395688
17	1	395696
181	1	395742
34180	3	395877
7	1	395906
2677	14	395922
1564	2	395934
189	2	395941
1006	1	395975
838	1	395994
7989	79	396006
75	1	396015
4050	1	396044
317	2	396137
5094	1	396152
689	1	396169
22453	1	396292
1834	1	396329
13411	1	396336
511	8	396417
869	1	396489
104983	1	396513
3104	1	396522
632	1	396885
1676	2	396895
257	1	396911
8416	1	397037
221	1	397128
166	1	397276
4927	1	397320
6645	20	397394
1672	1	397508
282	18	397540
1939	1	397818
222	1	397939
69	3	398070
504	1	398112
790	1	398189
3880	1	398214
616	13	398256
1837	1	398269
10901	1	398336
42050	5	398406
1029	18	398580
10	1	399019
351	2	399071
9	1	399364
315	1	399451
8	1	399514
4	1	399562
5785	1	65
173	11	149
603	3	188
685939	25	243
198	10	368
22902	8	665
1905	104	693
10379	127	1249
22	2	1551
112	14	1556
47	9	1559
641	1	1606
6	1	1724
312	3	1823
694	17	1942
9	1	2603
469	2	2647
3865	7	2682
22042	3	2723
21998067	46360	2856
2960	16	3170
691361	2480	3216
5779	33	3254
19314	53	3313
16	2	3337
6618	197	3388
14134	6	3455
295	53	3551
918218	17947	3786
176583	3	3902
13868	1	3916
189589	43	4185
5715	2	4263
386	1	4557
38134	485	4782
222254	327	5400
6	2	5573
10140	2	5721
145645	619	5742
6098612	10480	5769
