MESH-IX	185.1.99.0/24
MEX-IX	206.71.142.0/24
MGIX	196.223.41.0/24
MGMix Montgomery	206.53.200.0/24
MiamiIX	198.78.5.0/24
MICE	206.108.255.0/24
MidWest-IX - Indy	206.53.139.0/24
MidWest-IX - OHIO	206.82.109.0/24
MidWest-IX - St. Louis	206.71.10.0/24
MiNA	92.60.70.0/24
MINAP Milan	185.1.114.0/24
MISPA-IXP	103.8.60.0/24
M-IX	193.34.200.128/25
MIX-BT	196.223.27.0/24
MIX-BT	196.49.72.0/24
MIX-IT	217.29.66.0/23
MIX-IT	217.29.68.0/23
MIX-IT Palermo	185.1.186.0/24
MIX MNDC	103.17.108.0/23
MIXP	196.223.0.0/24
MIXP.me	185.1.44.0/24
MKE-IX	204.107.122.0/25
MLIX	196.60.46.0/24
MLIXP	200.75.174.0/24
MMIX	103.103.194.0/24
MMIX	103.116.194.0/24
MonctonIX	206.71.137.0/24
MOZIX	196.223.33.0/24
MS-IX	185.1.144.0/24
MSK-IX Ekaterinburg	194.85.107.0/24
MSK-IX Kazan	194.190.119.0/24
MSK-IX Moscow	195.208.208.0/21
MSK-IX Novosibirsk	193.232.87.0/24
MSK-IX Riga	193.232.244.0/24
MSK-IX Rostov-on-Don	193.232.140.0/24
MSK-IX Saint-Petersburg	194.226.100.0/23
MSK-IX Saint-Petersburg	194.226.102.0/23
MSK-IX Samara	193.232.135.0/24
MSK-IX Stavropol	194.85.177.0/24
MSK-IX Vladivostok	193.232.136.0/24
MTU9000	206.53.207.128/25
MTU-9000	206.71.8.128/25
Múli IXP	185.1.200.0/26
MUS-IX	74.200.144.0/24
MVIX	45.135.151.96/27
MyIX	218.100.44.0/24
MYNAP	103.229.35.0/24
Namex Rome IXP	193.201.28.0/24
NAPAfrica Cape Town	196.10.140.0/24
NAPAfrica IX Cape Town	196.60.70.0/23
NAPAfrica IX Durban	196.10.141.0/24
NAPAfrica IX Johannesburg	196.60.8.0/22
NAPAfrica MAPS Johannesburg	196.46.25.128/25
NAP Chile	192.168.173.0/24
NAP-Colombia	206.223.124.0/24
