4b42 Internet Exchange Point	185.1.125.0/24
NYIIX	198.32.160.0/23
NYIIX Los Angeles	198.32.146.0/24
NYIIX Philadelphia	206.51.30.0/24
OCIX	200.0.22.0/23
OCIX Duesseldorf	194.54.92.0/25
OCIX Frankfurt	194.54.93.0/25
OGIX	206.82.110.0/23
OhioIX	206.53.204.0/24
OmahaIX	206.126.235.0/26
OMSK-IX	94.137.48.0/24
OpenIXP / NiCE	218.100.27.0/24
OpenIXP / NiCE	218.100.36.0/24
Oregon Internet Exchange (OIX)	198.32.162.0/24
OttIX	198.32.235.0/24
OuestIX	185.1.66.0/26
Pacific-IX	218.100.80.0/22
PacificIX	218.100.81.0/24
PacificWave	207.231.241.0/24
PAIX-ATL	198.32.183.0/24
PAIX-Boston	198.32.111.0/24
PAIX-Boston	198.32.112.0/24
PAIX-Boston	198.32.113.0/24
PAIX-Miami	198.32.99.0/24
PAIX-NY	198.32.117.0/24
PCIX	185.1.97.0/24
Peering.cz	91.213.211.0/24
PhillyIX	206.80.234.0/24
Phoenix IX	206.41.105.0/24
PhOpenIX-Manila	198.32.172.0/24
PIPE Adelaide	218.100.3.0/24
PIPE Networks Adelaide	210.100.3.0/24
PIPE Networks Brisbane	218.100.0.0/24
PIPE Networks Canberra	218.100.19.0/24
PIPE Networks Hobart	218.100.12.0/24
PIPE Networks Melbourne	218.100.13.0/24
PIPE Networks Sydney	218.100.2.0/24
PIRIX	193.28.6.0/24
PIT Arica - PIT Chile	45.71.8.0/24
PITBolivia	179.0.30/24
PIT Concepcion - PIT Chile	45.71.9.0/24
PIT entel	186.10.203.0/24
PITER-IX	193.27.39.0/24
PITER-IX	31.44.186.0/24
PITER-IX	31.44.187.0/24
PITER-IX	37.9.49.0/24
PIT-IX	206.71.141.0/24
PIT Osorno - PIT Chile	45.71.11.0/24
PIT Peru	45.183.47.0/24
PIT Santiago - PIT Chile	200.23.206.0/24
PIT Temuco - PIT Chile	45.71.10.0/24
PIX	206.223.127.0/24
PIX Montreal	206.223.139.0/24
PIX Palestine	185.1.1.0/24
PIX Toronto	206.223.127.128/25
PIX Vancouver	206.223.127.0/25
PNG-IX	202.165.202.187
PNG Neutral Internet Exchange	103.82.247.0/24
PNIX	218.100.21.0/24
POZIX	185.1.4.0/22
Puerto Rico Internet Exchange	204.138.0.0/24
QCIX	206.83.43.0/24
QIX	198.179.18.0/24
